language,case,time_ms,success,error_msg
"JavaScript(Node.js)","fib",4969,true,
"JavaScript(Node.js)","bubble_sort",5947,true,
"C(GCC)","fib",1583,true,
"C(GCC)","bubble_sort",1533,true,
"C(Clang)","fib",1573,true,
"C(Clang)","bubble_sort",1535,true,
"Java(GraalVM)","fib",1984,true,
"Java(GraalVM)","bubble_sort",2248,true,
"Go","fib",1720,true,
"Go","bubble_sort",1892,true,
"Python(CPython)","fib",75003,true,
"Python(CPython)","bubble_sort",71408,true,
"Python(PyPy)","fib",5650,true,
"Python(PyPy)","bubble_sort",3864,true,
"Lua","fib",39584,true,
"Lua","bubble_sort",24792,true,
"Lua(LuaJIT)","fib",4068,true,
"Lua(LuaJIT)","bubble_sort",3079,true,
"Java(JVM)","fib",1352,true,
"Java(JVM)","bubble_sort",1952,true,
"Rust","fib",1582,true,
"Rust","bubble_sort",2184,true,
"JavaScript(Bun)","fib",2532,true,
"JavaScript(Bun)","bubble_sort",3730,true,
"Zig","fib",1580,true,
"Zig","bubble_sort",1608,true,
"Swift","fib",1993,true,
"Swift","bubble_sort",2311,true,
"Dart(AOT)","fib",2781,true,
"Dart(AOT)","bubble_sort",3110,true,
"Dart(JIT)","fib",6782,true,
"Dart(JIT)","bubble_sort",2640,true,
